timestamp,generated,checked,found,errors,gen_rate,check_rate,rpc_alive
2026-04-17T21:20:12Z,1040,780,0,0,346.10,259.57,4
2026-04-17T21:20:15Z,2160,1900,0,0,359.70,316.40,4
